xflr5 v6.12

Wing name :        Q1flaps30
Wing polar name :  T1-210.0 mph-LLT
Freestream speed : 210.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    2.750     0.000   0.948574   0.029337   0.023050   0.052387   0.000000  -0.000000   0.046197   0.000000   0.000000   93.8784     0.9554
    3.000     0.000   0.970670   0.030210   0.023205   0.053415   0.000000  -0.000000   0.049402   0.000000   0.000000   93.8784     0.9521
    3.250     0.000   0.992547   0.031097   0.023367   0.054464   0.000000  -0.000000   0.052612   0.000000   0.000000   93.8784     0.9489
    3.500     0.000   1.013529   0.031956   0.023568   0.055524   0.000000  -0.000000   0.055809   0.000000   0.000000   93.8784     0.9458
    3.750     0.000   1.033844   0.032768   0.023804   0.056572   0.000000  -0.000000   0.058957   0.000000   0.000000   93.8784     0.9427
    4.000     0.000   1.053553   0.033550   0.024069   0.057619   0.000000  -0.000000   0.062076   0.000000   0.000000   93.8784     0.9398
    4.250     0.000   1.072884   0.034326   0.024348   0.058674   0.000000  -0.000000   0.065180   0.000000   0.000000   93.8784     0.9369
    4.500     0.000   1.091779   0.035146   0.024632   0.059778   0.000000  -0.000000   0.068379   0.000000   0.000000   93.8784     0.9340
    4.750     0.000   1.110511   0.035997   0.024931   0.060928   0.000000  -0.000000   0.071637   0.000000   0.000000   93.8784     0.9311
    5.000     0.000   1.128904   0.036855   0.025244   0.062100   0.000000  -0.000000   0.074943   0.000000   0.000000   93.8784     0.9282
    5.250     0.000   1.147064   0.037720   0.025573   0.063293   0.000000  -0.000000   0.078279   0.000000   0.000000   93.8784     0.9252
    5.500     0.000   1.164764   0.038593   0.025899   0.064493   0.000000  -0.000000   0.081629   0.000000   0.000000   93.8784     0.9223
    5.750     0.000   1.182160   0.039480   0.026235   0.065715   0.000000  -0.000000   0.085038   0.000000   0.000000   93.8784     0.9194
    6.000     0.000   1.198221   0.040372   0.026562   0.066934   0.000000  -0.000000   0.088563   0.000000   0.000000   93.8784     0.9163
    6.250     0.000   1.213350   0.041263   0.026899   0.068161   0.000000  -0.000000   0.092200   0.000000   0.000000   93.8784     0.9130
    6.500     0.000   1.228239   0.042156   0.027252   0.069408   0.000000  -0.000000   0.095828   0.000000   0.000000   93.8784     0.9098
    6.750     0.000   1.242946   0.043053   0.027612   0.070665   0.000000  -0.000000   0.099450   0.000000   0.000000   93.8784     0.9067
    7.000     0.000   1.257321   0.043953   0.027988   0.071941   0.000000  -0.000000   0.103024   0.000000   0.000000   93.8784     0.9036
    7.250     0.000   1.270341   0.044842   0.028387   0.073229   0.000000  -0.000000   0.106720   0.000000   0.000000   93.8784     0.9003
    7.500     0.000   1.281291   0.045690   0.028843   0.074533   0.000000  -0.000000   0.110557   0.000000   0.000000   93.8784     0.8968
    7.750     0.000   1.292848   0.046538   0.029295   0.075833   0.000000  -0.000000   0.114348   0.000000   0.000000   93.8784     0.8933
    8.000     0.000   1.304928   0.047384   0.029753   0.077137   0.000000  -0.000000   0.118139   0.000000   0.000000   93.8784     0.8900
    8.250     0.000   1.316533   0.048230   0.030244   0.078474   0.000000  -0.000000   0.121902   0.000000   0.000000   93.8784     0.8867
    8.500     0.000   1.327128   0.049062   0.030779   0.079841   0.000000  -0.000000   0.125559   0.000000   0.000000   93.8784     0.8835
    8.750     0.000   1.337569   0.049910   0.031335   0.081244   0.000000  -0.000000   0.129196   0.000000   0.000000   93.8784     0.8802
    9.000     0.000   1.347499   0.050749   0.031918   0.082666   0.000000  -0.000000   0.132941   0.000000   0.000000   93.8784     0.8769
    9.250     0.000   1.357103   0.051553   0.032553   0.084106   0.000000  -0.000000   0.136622   0.000000   0.000000   93.8784     0.8736
    9.500     0.000   1.366274   0.052357   0.033230   0.085587   0.000000  -0.000000   0.140261   0.000000   0.000000   93.8784     0.8703
    9.750     0.000   1.373980   0.053031   0.034092   0.087123   0.000000  -0.000000   0.143691   0.000000   0.000000   93.8784     0.8671
   10.000     0.000   1.381640   0.053659   0.035007   0.088667   0.000000  -0.000000   0.146976   0.000000   0.000000   93.8784     0.8641
   10.250     0.000   1.390600   0.054332   0.035872   0.090204   0.000000  -0.000000   0.150239   0.000000   0.000000   93.8784     0.8612
   10.500     0.000   1.398872   0.054916   0.036838   0.091754   0.000000  -0.000000   0.153445   0.000000   0.000000   93.8784     0.8583
   10.750     0.000   1.406923   0.055513   0.037828   0.093341   0.000000  -0.000000   0.156545   0.000000   0.000000   93.8784     0.8555
   11.000     0.000   1.414890   0.056086   0.038868   0.094954   0.000000  -0.000000   0.159469   0.000000   0.000000   93.8784     0.8528
   11.250     0.000   1.422891   0.056584   0.039974   0.096558   0.000000  -0.000000   0.162281   0.000000   0.000000   93.8784     0.8503
   11.500     0.000   1.431322   0.057138   0.041051   0.098190   0.000000  -0.000000   0.165152   0.000000   0.000000   93.8784     0.8478
   11.750     0.000   1.439601   0.057788   0.042108   0.099896   0.000000  -0.000000   0.168063   0.000000   0.000000   93.8784     0.8453
